aaa;bbb;ccc;ddd;eee;fff
67;34;17;18;17;33
54;33;8;10;10;33
70;35;16;18;17;37
70;33;15;15;14;31
47;28;11;12;11;27
75;17;1;0;1;17
70;29;13;14;14;31
79;28;14;14;13;28
65;25;10;11;11;25
54;36;11;12;11;35
63;33;17;18;18;35
55;45;32;35;33;46
67;36;22;24;23;36
69;24;10;11;9;23
63;16;1;1;1;16
65;27;11;11;11;26
61;31;18;18;17;33
66;36;22;22;22;36
59;37;19;21;21;39
59;49;30;32;30;49
73;11;5;5;5;12
66;40;24;27;25;41
60;40;23;24;23;42
59;31;15;15;16;32
49;33;8;9;9;33
75;19;1;1;1;19
57;36;12;14;13;37
63;45;28;30;29;46
64;39;20;21;20;41
79;33;19;21;20;33
72;34;15;17;16;33
65;39;20;21;19;39
74;38;25;27;26;38
68;32;16;17;17;33
55;30;6;7;6;30
61;19;1;2;1;20
71;33;17;18;18;33
75;30;17;17;17;31
59;17;0;1;1;16
65;35;18;19;18;35
77;32;17;18;18;32
60;33;18;20;18;35
62;33;19;20;20;33
67;35;19;20;20;37
64;33;12;13;13;32
73;29;14;15;15;29
63;26;11;12;12;26
78;34;18;20;20;35
62;38;21;22;22;41
56;27;7;8;8;27
78;20;0;1;1;19
70;38;22;24;23;38
79;51;33;35;34;53
57;34;17;19;17;34
57;34;9;11;11;35
66;35;21;22;21;35
80;28;11;12;13;27
54;35;11;12;11;35
67;34;18;19;18;35
55;42;31;33;32;43
64;38;23;24;23;39
64;27;7;7;7;26
60;38;20;22;21;37
82;52;39;41;41;55
73;35;19;19;19;35
59;33;18;19;17;33
77;35;16;17;16;34
76;32;16;17;17;33
56;47;27;28;28;47
61;34;15;16;15;34
69;37;22;23;22;39
59;36;21;22;21;34
70;33;16;17;16;32
77;35;18;19;18;34
81;35;19;19;19;35
61;29;11;12;12;29
60;31;16;17;16;30
74;32;19;19;20;31
70;33;20;21;20;33
60;36;17;19;18;38
81;37;21;22;22;38
49;30;10;10;9;31
81;31;14;14;15;31
60;33;20;20;20;33
73;29;14;14;14;30
60;39;18;20;18;39
72;17;0;1;1;17
73;27;10;11;11;28
67;40;16;17;15;39
64;33;19;19;19;35
60;33;16;16;16;33
73;22;6;5;5;22
70;34;21;23;22;34
66;34;18;19;18;36
64;32;18;19;18;33
71;21;3;3;4;20
85;19;1;2;1;18
80;37;19;21;21;36
72;17;0;0;1;17
52;32;8;9;8;32
66;30;15;16;15;30
67;39;24;26;25;39
62;36;20;21;20;36
70;32;18;19;18;34
56;41;25;26;26;43
66;36;23;25;24;37
74;27;11;12;12;28
63;24;8;9;8;24
64;28;13;14;14;28
55;41;22;24;23;42
62;29;13;14;14;28
77;31;15;16;15;31
73;32;16;17;17;32
59;33;16;17;16;31
52;27;5;6;6;28
65;45;28;29;28;46
52;34;9;11;9;32
59;35;17;18;17;36
66;28;11;11;11;28
61;34;17;19;19;34
76;16;1;1;0;17
64;29;13;15;14;29
66;29;13;14;13;29
67;28;15;16;15;28
79;16;1;1;1;15
73;40;24;26;25;40
57;33;15;17;16;35
63;16;1;1;1;15
76;18;0;1;0;18
52;30;8;9;8;31
75;37;19;20;20;38
45;27;8;8;7;25
78;34;16;17;17;34
73;33;20;21;20;34
65;28;15;16;15;29
63;36;17;18;18;37
66;35;18;20;18;35
67;40;22;23;22;41
65;16;1;0;1;16
68;46;24;26;25;47
58;36;20;21;20;35
60;31;14;15;14;31
54;48;28;30;29;48
71;38;25;26;25;40
62;33;15;17;16;31
69;14;2;2;2;13
45;24;9;9;9;24
62;16;1;1;1;15
75;32;23;23;23;32
67;23;7;8;8;21
61;20;4;4;4;20
62;24;9;9;8;22
64;26;13;14;14;27
70;26;12;12;12;26
59;17;1;1;1;16
72;25;10;10;10;25
73;25;14;14;15;24
76;28;17;18;18;27
60;22;6;6;5;21
70;22;9;9;9;22
84;30;24;25;23;29
70;26;20;19;20;26
67;15;4;4;4;15
80;22;13;13;14;23
65;27;17;18;17;27
62;22;7;8;8;21
61;17;1;1;1;16
70;26;9;10;10;24
47;21;2;2;1;21
64;12;2;2;1;11
59;29;15;15;15;27
65;27;13;13;13;26
68;28;13;13;13;27
73;27;17;18;18;26
60;24;10;9;9;24
69;14;4;4;4;15
69;33;23;23;22;31
51;28;16;17;15;27
62;21;8;8;8;20
55;27;15;15;14;27
62;21;6;6;5;19
56;22;8;9;8;20
65;23;8;8;9;23
64;24;10;10;10;23
57;17;2;3;2;17
64;23;10;10;11;23
62;26;15;15;14;26
49;24;2;2;2;23
67;15;2;0;1;12
66;25;7;7;7;24
79;27;18;18;18;27
67;14;5;5;5;13
79;28;19;20;19;27
69;22;9;10;9;22
59;25;9;9;9;24
66;26;12;13;12;25
83;32;27;26;26;31
58;26;10;10;9;25
56;21;5;4;4;19
71;23;15;15;15;23
72;14;1;2;1;14
68;16;1;1;2;15
68;15;0;1;1;14
57;27;14;13;13;26
70;23;11;10;10;23
73;14;1;1;1;15
75;25;12;12;12;23
67;16;0;0;1;14
80;29;21;21;21;29
63;21;6;6;6;20
58;28;10;10;9;26
72;25;10;10;9;23
51;20;2;2;1;19
53;24;9;10;8;24
55;25;7;7;7;25
78;28;19;20;18;26
65;24;14;14;13;24
60;21;5;5;5;19
75;25;14;13;14;25
45;23;1;1;1;21
54;25;7;7;7;24
56;24;13;12;12;24
64;25;13;13;13;25
63;24;6;7;6;22
63;26;13;13;13;25
65;16;0;1;1;17
